Document type,Title,No.,Topic area , Models and Strategies ,Biological endpoints,Experimental systems,EUProject,Regulatory  information,Supplementary materials (Downloads)
Method summary,3-D Reconstructed Human Epidermis (RHE) models for skin irritation and corrosivity testing - Summary,117,Skin Irritation and Corrosivity,"3-DIMENSIONAL MODELS
Human Origin
Reconstructed Models of Keratinocytes","Cell viability
Mediator release: cytokines
Vital dye reduction: MTT to formazan","Reconstituted dermal model
RHE EpiDermTM
RHE EpiSkinTM
RHE SkinEthicTM",,,
Method summary,Adenosine Triphosphate (ATP) Assay -  Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Metabolic activity,L-929 - Mouse subcutaneous connective tissue cell line,,,
Method summary,Agarose Diffusion Method - Summary,31,Eye Irritation,"Animal Origin
Cell Lines",Vital dye release: Neutral Red (NRR),"L-929 - Mouse subcutaneous connective tissue cell line
SIRC - Rabbit cornea epithelial cell line",,,
Method summary,Aggregate culture systems - Summary,0,Developmental toxicity,,"Cell differentiation
Cell function: membrane damage
Cell proliferation
Protein content: glial fibrillary acidic protein (GFAP)
Protein content: myelin basic protein (MBP)
Protein content: total","Embryo brain cells (chick, mouse, rat)
Embryo neural retina cells (chick)",,,
Method summary,Alginate entrapped primary hepatocytes (LiverBeadsTM) - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Hepatocytes Reaggregates
Human Origin
Primary Cell Culture","Cell function: membrane damage
Cell viability
Metabolic effects
Protein content: total","LiverBeads<sup>TM</sup>
Primary hepatocytes (mammals)",,,
Method summary,Annexin V assay - Summary,0,Drug Discovery and Activity Testing,"Animal Origin
Human Origin",Apoptosis,Cell line cultures,,,
Method summary,AR-CALUX: Androgen-Responsive Transactivation Bioassay,187,Effects on Endocrine System,"Cell Lines
Genetically Engineered Cells
Human Origin","Androgenic activity
Anti-androgenic activity
Cell viability
Receptor activity: Androgen Receptor (AR)
Reporter gene expression: Luciferase (Luc)",AR-CALUX - Engineerd human osteoblastic osteosarcoma (U2-OS) cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2010-07,
Method summary,Artificial membranes for percutaneous absorption testing - Summary,0,Percutaneous Absorption,BIO-CHEMICALS & POLYMERS,"Relative absorption
Skin permeation",Skin Tissues (artificial membranes),,,
Method summary,ATR-FTIR Spectroscopy - Summary,0,Percutaneous Absorption,"Animal Origin
Human Origin
Non viable isolated tissues (epidermal membranes & full thickness skin)
PHYSICO-CHEMICAL ASSAYS",Relative absorption,"Keratinocytes (human)
Skin tissues (animal or human origin)
Skin Tissues (artificial membranes)",,,
Method summary,Bacterial reverse mutation test (Ames test),30,Genotoxicity/Mutagenicity,"Cell Lines
Genetically Engineered Cells
Microorganisms","Gene mutation
Gene mutation: deletion
Gene mutation: frame-shift
Gene mutation: insertion
Gene mutation: reverse mutation
Gene mutation: substitution","<em>Escherichia coli</em>
Salmonella typhimurium",,,
Method summary,BfR Decision Support System - Summary,0,Eye Irritation,(Q)SARs,,,,,
Method summary,Bhas 42 cell transformation assay in 6- and 96-well plates - Summary,156,Cell transformation,"Animal Origin
Cell Lines
Genetically Engineered Cells","Cell number
Morphological transformation of cell colonies",Bhas 42 - Engineered mouse embryo BALB 3T3 cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2012-06,
Method summary,Bovine Corneal Opacity and Permeability (BCOP) Assay - Summary,98,Eye Irritation,"Animal Origin
Corneal Models
Eye & Eye Parts","Corneal epithelium integrity
Corneal opacity
Corneal permeability
Protein denaturation",Cornea (bovine),,,
Method summary,Bovine Enucleated Eye Test (BEET) - Summary,0,Eye Irritation,,"Cell integrity
Corneal thickness",Enucleated eye (bovine),,,
Method summary,Bovine Eye - Chorioallantoic Membrane (BE-CAM) Test - Summary,0,Eye Irritation,"Animal Origin
Eye & Eye Parts
IN OVO METHODS","Blood coagulation: intravascular and extravasular
Corneal epithelium detachment
Corneal epithelium integrity
Corneal opacity
Haemorrhage
Injection of capillaries","Chorioallantoic Membrane (CAM) (chicken egg)
Enucleated eye (bovine)",,,
Method summary,Bovine Eye Cup (BECUP) Model - Summary,0,Eye Irritation,"Animal Origin
Corneal Models
Eye & Eye Parts",Mediator release: histamine,Cornea (bovine),,,
Method summary,Brain Reaggregate Culture for in vitro testing of neurotoxic compounds - Summary,11,Neurotoxicity,Brain Reaggregates,"Astrocyte specific effects
Cell function: membrane damage
Cell morphology
Cell proliferation
Cell viability
Gene expression: Glial fibrillary acidic protein (GFAP)
Gene expression: Myelin basic protein (MBP)
Microglia specific effects
Myelin formation
Neuron specific effects
Oligodendrocyte specific effects
Protein synthesis","Brain areas (rat, mice, chick or humans)",,,
Method summary,Caenorhabditis elegans Model - Summary,0,Developmental toxicity,Animal Origin,"Larval length (<em>C. elegans</em>)
Reproductive performance",Nematode worm (<em>Caenorhabditis elegans</em>)<em><br /></em>,,,
Method summary,Cell Detachment Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines",Cell adhesion,"BHK-21/C13 - Syrian hamster kidney epithelial cells
Keller cells - Immortalized human diploid fibroblastic cell line
MRC-5 Cells",,,
Method summary,Cell Lysis Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines",Optical density,"L-929 - Mouse subcutaneous connective tissue cell line
SIRC - Rabbit cornea epithelial cell line",,,
Method summary,Cell transformation assay with BALB/c 3T3 cells (BALB/c 3T3 CTA) - Summary,137,Cell transformation,Cell Lines,"Cell number
Colony formation
Morphological effects
Plating efficiency",BALB/c 3T3 - Mouse fibroblast cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-07,
Method summary,Chick Yolk Sac Blood Vessel Assay - Summary,56,Eye Irritation,"Animal Origin
IN OVO METHODS","Haemorrhage
Hyperaemia",Yolk sac blood vessel system (chick embryo),,,
Method summary,Chicken Embryotoxicity Test (in ovo and ex ovo) - Summary,0,Developmental toxicity,Animal Origin,"Apoptosis
Cell differentiation
Cell migration
Cellular functional parameters
DNA damage: oxidation
Embryo development
Embryo growth
Embryo morphology
Embryo viability
Gene expression: Alpha actin
Gene expression: Aryl hydrocarbon receptor (AhR)
Gene expression: Beta actin
Gene expression: Beta-adrenergic receptor
Gene expression: Biomarkers
Gene expression: Cytochrome P450 isoenzymes (CYP450)
Gene expression: Homeobox protein ANF
Gene expression: Hypoxia-inducible factor 1 (HIF1A)
Gene expression: Insulin-like growth factor-1 (ILGF-1)
Gene expression: Uridine glucuronosyltransferase (UGT or UDPGT)
Gene expression: Vascular endothelial growth factor (VEGF)
Generation of Reactive Oxygen Species (ROS)
Heart functional parameters
Protein synthesis","Chick embryo in ovo
Whole embryo culture (chicken)",,,
Method summary,Chorioallantoic Membrane Vascular Assay (CAMVA) - Summary,0,Eye Irritation,"Animal Origin
IN OVO METHODS",Vascular damage,Chorioallantoic Membrane (CAM) (chicken egg),,,
Method summary,Chorioallantoic Membrane-Trypan Blue Staining (CAM-TBS) Assay - Summary,108,Eye Irritation,"Animal Origin
IN OVO METHODS","Cell viability
Trypan blue adsorption",Chorioallantoic Membrane (CAM) (chicken egg),,,
Method summary,Chromium (Cr51) Release Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Cell function: membrane damage,"P-815
RCE - Rabbit corneal epithelial cell line
SIRC - Rabbit cornea epithelial cell line
Yak-1",,,
